City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,norman wells,65.282,-126.8329,-28.97999999999999,76,40,1.54,CA,1675161476
66,kapaa,22.0752,-159.319,20.610000000000014,94,20,2.57,US,1675161477
67,necochea,-38.5473,-58.7368,21.410000000000025,59,33,1.71,AR,1675161477
68,puerto ayora,-0.7393,-90.3518,24.189999999999998,92,63,0.78,EC,1675161478
69,nikolskoye,59.7035,30.7861,-0.060000000000002274,88,100,4.84,RU,1675161478
70,nome,64.5011,-165.4064,-3.9599999999999795,100,100,2.57,US,1675161478
71,half moon bay,37.4636,-122.4286,8.090000000000032,40,0,0.0,US,1675161479
72,bredasdorp,-34.5322,20.0403,27.890000000000043,43,10,6.12,ZA,1675161479
73,geraldton,-28.7667,114.6,25.230000000000018,69,20,7.72,AU,1675161480
74,pozo colorado,-23.4923,-58.7972,22.840000000000032,97,100,1.63,PY,1675161480
75,guadalupe y calvo,26.1,-106.9667,4.470000000000027,94,100,0.94,MX,1675161481
76,santa cruz cabralia,-16.2781,-39.0247,23.129999999999995,100,40,1.03,BR,1675161481
77,panaba,21.2833,-88.2667,20.30000000000001,96,2,2.96,MX,1675161482
78,lesogorsk,56.0458,99.5136,-19.649999999999977,100,91,1.28,RU,1675161482
79,mount gambier,-37.8333,140.7667,14.680000000000007,71,15,2.38,AU,1675161483
80,khatanga,71.9667,102.5,-42.599999999999966,100,60,2.07,RU,1675161483
81,fort nelson,58.8053,-122.7002,-12.229999999999961,92,100,2.57,CA,1675161483
82,barrow,71.2906,-156.7887,-20.98999999999998,77,0,10.29,US,1675161484
83,longyearbyen,78.2186,15.6401,-8.089999999999975,67,40,4.63,SJ,1675161484
84,port elizabeth,-33.918,25.5701,25.730000000000018,77,20,9.26,ZA,1675161189
85,hami,42.8,93.45,-2.259999999999991,26,100,1.36,CN,1675161485
86,sinazongwe,-17.2614,27.4618,27.980000000000018,62,67,4.08,ZM,1675161486
87,upernavik,72.7868,-56.1549,-14.779999999999973,92,100,3.51,GL,1675161486
88,salalah,17.0151,54.0924,25.05000000000001,57,20,3.6,OM,1675161487
89,carnarvon,-24.8667,113.6333,25.310000000000002,72,0,8.17,AU,1675161487
90,gallup,35.5281,-108.7426,-8.089999999999975,93,0,0.0,US,1675161487
91,narsaq,60.9167,-46.05,-5.8799999999999955,93,100,2.56,GL,1675161488
92,rio gallegos,-51.6226,-69.2181,10.03000000000003,40,0,5.14,AR,1675161488
93,fukuma,33.7667,130.4667,8.0,56,3,3.37,JP,1675161489
94,saint george,37.1041,-113.5841,-4.199999999999989,45,0,4.12,US,1675161489
95,adrar,20.5022,-10.0711,20.180000000000007,11,30,6.19,MR,1675161489
96,miri,4.4148,114.0089,28.08000000000004,69,40,2.06,MY,1675161344
97,hilo,19.7297,-155.09,24.600000000000023,94,20,3.09,US,1675161490
98,warrington,53.3925,-2.5802,9.939999999999998,79,40,9.77,GB,1675161475
99,ponta do sol,32.6667,-17.1,17.29000000000002,45,15,2.3,PT,1675161491
100,nanortalik,60.1432,-45.2371,-8.109999999999957,85,100,2.05,GL,1675161492
101,bowen,-20.0167,148.2333,26.99000000000001,77,95,4.43,AU,1675161492
102,atuona,-9.8,-139.0333,25.920000000000016,80,87,10.7,PF,1675161493
103,ajdabiya,30.7554,20.2263,16.260000000000048,41,90,7.31,LY,1675161493
104,angoche,-16.2325,39.9086,29.49000000000001,66,44,4.08,MZ,1675161494
105,port hedland,-20.3167,118.5667,32.03000000000003,70,7,6.69,AU,1675161494
106,pitimbu,-7.4706,-34.8086,26.33000000000004,64,90,5.59,BR,1675161495
107,sao joao da barra,-21.6403,-41.0511,25.05000000000001,82,64,5.86,BR,1675161495
108,sao filipe,14.8961,-24.4956,22.0,69,53,2.81,CV,1675161496
109,chokurdakh,70.6333,147.9167,-11.060000000000002,95,100,4.51,RU,1675161496
110,iralaya,15.0,-83.2333,24.220000000000027,85,38,5.03,HN,1675161497
111,arica,-18.475,-70.3042,22.129999999999995,73,0,1.03,CL,1675161497
112,lompoc,34.6391,-120.4579,8.230000000000018,76,0,5.36,US,1675161497
113,port lincoln,-34.7333,135.8667,16.82000000000005,73,3,4.85,AU,1675161320
114,sitka,57.0531,-135.33,2.9399999999999977,93,100,0.0,US,1675161498
115,massakory,12.996,15.7293,34.60000000000002,9,41,6.35,TD,1675161499
116,egvekinot,66.3167,-179.1667,-6.579999999999984,97,100,2.08,RU,1675161500
117,bluff,-46.6,168.3333,16.010000000000048,94,100,3.03,NZ,1675161500
118,qaqortoq,60.7167,-46.0333,-11.979999999999961,89,100,2.58,GL,1675161473
119,santa marta,11.2408,-74.199,23.120000000000005,73,9,5.96,CO,1675161501
120,kaitangata,-46.2817,169.8464,16.32000000000005,98,100,1.48,NZ,1675161501
121,ribeira grande,38.5167,-28.7,14.32000000000005,72,20,5.66,PT,1675161502
122,simbahan,6.3032,120.5836,25.05000000000001,83,100,3.3,PH,1675161503
123,bay roberts,47.5999,-53.2648,0.08000000000004093,97,100,0.98,CA,1675161503
